ENTITY_ID,EFFECTIVE_DATE,AGGREGATE_ID,FREQUENCY,SECURITY_ID,WEIGHT,GROSS_RETURN,BMV_GROSS,EMV_GROSS,GAIN_LOSS_GROSS
F001,2021-01-01,3,D,1,74.7308,-9.00004,747308.0,680050.0,-67258.0
F001,2021-01-01,3,D,2,8.1056,1.99998,81056.0,82677.1,1621.1
F001,2021-01-01,3,D,3,0.0063,-6.0,63.0,59.22,-3.78
F001,2021-01-01,3,D,4,0.0249,3.0,249.0,256.47,7.47
F001,2021-01-01,3,D,5,0.01,6.0,100.0,106.0,6.0
F001,2021-01-01,3,D,6,0.0011,4.0,11.0,11.44,0.44
F001,2021-01-01,3,D,7,0.001,4.0,10.0,10.4,0.4
F001,2021-01-01,3,D,8,5.0E-4,-8.0,5.0,4.6,-0.4
F001,2021-01-01,3,D,9,0.0,0.0,0.0,0.0,0.0
F001,2021-01-01,3,D,10,2.0E-4,-4.0,2.0,1.92,-0.08
F001,2021-01-01,4,D,11,0.1686,-4.0,1686.0,1618.56,-67.44
F001,2021-01-01,4,D,12,0.0344,9.0,344.0,374.96,30.96
F001,2021-01-01,4,D,13,0.0069,6.0,69.0,73.14,4.14
F001,2021-01-01,4,D,14,0.0058,0.0,58.0,58.0,0.0
F001,2021-01-01,4,D,15,7.0E-4,1.0,7.0,7.07,0.07
F001,2021-01-01,4,D,16,2.0E-4,-1.0,2.0,1.98,-0.02
F001,2021-01-01,4,D,17,0.0,0.0,0.0,0.0,0.0
F001,2021-01-01,4,D,18,0.0,0.0,0.0,0.0,0.0
F001,2021-01-01,4,D,19,0.0,0.0,0.0,0.0,0.0
F001,2021-01-01,4,D,20,1.0E-4,-3.0,1.0,0.97,-0.03
F001,2021-01-01,5,D,21,12.0344,-9.00003,120344.0,109513.0,-10831.0
F001,2021-01-01,5,D,22,0.9069,4.0,9069.0,9431.76,362.76
F001,2021-01-01,5,D,23,0.0583,0.0,583.0,583.0,0.0
F001,2021-01-01,5,D,24,0.0208,9.0,208.0,226.72,18.72
F001,2021-01-01,5,D,25,0.0297,0.0,297.0,297.0,0.0
F001,2021-01-01,5,D,26,0.0113,-2.0,113.0,110.74,-2.26
F001,2021-01-01,5,D,27,0.0159,-5.0,159.0,151.05,-7.95
F001,2021-01-01,5,D,28,0.0038,-2.0,38.0,37.24,-0.76
F001,2021-01-01,5,D,29,0.003,3.0,30.0,30.9,0.9
F001,2021-01-01,5,D,30,5.0E-4,1.0,5.0,5.05,0.05
F001,2021-01-01,6,D,31,0.7127,-4.0,7127.0,6841.92,-285.08
F001,2021-01-01,6,D,32,2.0287,-8.99985,20287.0,18461.2,-1825.8
F001,2021-01-01,6,D,33,0.9429,-9.0,9429.0,8580.39,-848.61
F001,2021-01-01,6,D,34,0.0376,-4.0,376.0,360.96,-15.04
F001,2021-01-01,6,D,35,0.0842,7.0,842.0,900.94,58.94
F001,2021-01-01,6,D,36,0.0043,-7.0,43.0,39.99,-3.01
F001,2021-01-01,6,D,37,0.0018,0.0,18.0,18.0,0.0
F001,2021-01-01,6,D,38,0.0038,-2.0,38.0,37.24,-0.76
F001,2021-01-01,6,D,39,0.0018,-2.0,18.0,17.64,-0.36
F001,2021-01-01,6,D,40,5.0E-4,-8.0,5.0,4.6,-0.4
F001,2021-01-04,3,D,1,73.8413,4.0,680050.0,707252.0,27202.0
F001,2021-01-04,3,D,2,8.97726,1.99995,82677.1,84330.6,1653.5
F001,2021-01-04,3,D,3,0.00643024,3.0,59.22,60.9966,1.7766
F001,2021-01-04,3,D,4,0.0278481,-4.00008,256.47,246.211,-10.259
F001,2021-01-04,3,D,5,0.0115097,3.0,106.0,109.18,3.18
F001,2021-01-04,3,D,6,0.00124218,-3.0,11.44,11.0968,-0.3432
F001,2021-01-04,3,D,7,0.00112925,0.0,10.4,10.4,0.0
F001,2021-01-04,3,D,8,4.99478E-4,-8.0,4.6,4.232,-0.368
F001,2021-01-04,3,D,9,0.0,0.0,0.0,0.0,0.0
F001,2021-01-04,3,D,10,2.08478E-4,-7.0,1.92,1.7856,-0.1344
F001,2021-01-04,4,D,11,0.175747,3.0002,1618.56,1667.12,48.56
F001,2021-01-04,4,D,12,0.040714,8.00005,374.96,404.957,29.997
F001,2021-01-04,4,D,13,0.0079417,5.0,73.14,76.797,3.657
F001,2021-01-04,4,D,14,0.00629777,5.0,58.0,60.9,2.9
F001,2021-01-04,4,D,15,7.67676E-4,-3.0,7.07,6.8579,-0.2121
F001,2021-01-04,4,D,16,2.14993E-4,-6.0,1.98,1.8612,-0.1188
F001,2021-01-04,4,D,17,0.0,0.0,0.0,0.0,0.0
F001,2021-01-04,4,D,18,0.0,0.0,0.0,0.0,0.0
F001,2021-01-04,4,D,19,0.0,0.0,0.0,0.0,0.0
F001,2021-01-04,4,D,20,1.05325E-4,-1.0,0.97,0.9603,-0.0097
F001,2021-01-04,5,D,21,11.8912,8.99984,109513.0,119369.0,9856.0
F001,2021-01-04,5,D,22,1.02412,-6.00005,9431.76,8865.85,-565.91
F001,2021-01-04,5,D,23,0.0633034,-9.0,583.0,530.53,-52.47
F001,2021-01-04,5,D,24,0.0246178,3.00018,226.72,233.522,6.802
F001,2021-01-04,5,D,25,0.0322489,-3.0,297.0,288.09,-8.91
F001,2021-01-04,5,D,26,0.0120244,-2.00018,110.74,108.525,-2.215
F001,2021-01-04,5,D,27,0.0164013,2.0,151.05,154.071,3.021
F001,2021-01-04,5,D,28,0.0040436,-1.0,37.24,36.8676,-0.3724
F001,2021-01-04,5,D,29,0.00335519,0.0,30.9,30.9,0.0
F001,2021-01-04,5,D,30,5.4834E-4,5.0,5.05,5.3025,0.2525
F001,2021-01-04,6,D,31,0.742911,6.99994,6841.92,7320.85,478.93
F001,2021-01-04,6,D,32,2.00456,-7.00009,18461.2,17168.9,-1292.3
F001,2021-01-04,6,D,33,0.931678,5.00001,8580.39,9009.41,429.02
F001,2021-01-04,6,D,34,0.0391938,5.0,360.96,379.008,18.048
F001,2021-01-04,6,D,35,0.0978261,-4.00004,900.94,864.902,-36.038
F001,2021-01-04,6,D,36,0.0043422,1.0,39.99,40.3899,0.3999
F001,2021-01-04,6,D,37,0.00195448,3.0,18.0,18.54,0.54
F001,2021-01-04,6,D,38,0.0040436,9.0,37.24,40.5916,3.3516
F001,2021-01-04,6,D,39,0.00191539,-8.0,17.64,16.2288,-1.4112
F001,2021-01-04,6,D,40,4.99478E-4,-3.0,4.6,4.462,-0.138
F001,2021-01-05,3,D,1,73.7695,-7.99998,707252.0,650672.0,-56580.0
F001,2021-01-05,3,D,2,8.79606,-6.99995,84330.6,78427.5,-5903.1
F001,2021-01-05,3,D,3,0.00636222,4.99995,60.9966,64.0464,3.0498
F001,2021-01-05,3,D,4,0.0256809,-2.99987,246.211,238.825,-7.386
F001,2021-01-05,3,D,5,0.011388,-9.0,109.18,99.3538,-9.8262
F001,2021-01-05,3,D,6,0.00115745,5.99993,11.0968,11.7626,0.6658
F001,2021-01-05,3,D,7,0.00108477,8.0,10.4,11.232,0.832
F001,2021-01-05,3,D,8,4.41416E-4,0.0,4.232,4.232,0.0
F001,2021-01-05,3,D,9,0.0,0.0,0.0,0.0,0.0
F001,2021-01-05,3,D,10,1.86246E-4,0.0,1.7856,1.7856,0.0
F001,2021-01-05,4,D,11,0.173888,0.0,1667.12,1667.12,0.0
F001,2021-01-05,4,D,12,0.0422388,5.9999,404.957,429.254,24.297
F001,2021-01-05,4,D,13,0.00801027,5.99997,76.797,81.4048,4.6078
F001,2021-01-05,4,D,14,0.00635214,-1.0,60.9,60.291,-0.609
F001,2021-01-05,4,D,15,7.15309E-4,8.99999,6.8579,7.47511,0.61721
F001,2021-01-05,4,D,16,1.94131E-4,6.99979,1.8612,1.99148,0.13028
F001,2021-01-05,4,D,17,0.0,0.0,0.0,0.0,0.0
F001,2021-01-05,4,D,18,0.0,0.0,0.0,0.0,0.0
F001,2021-01-05,4,D,19,0.0,0.0,0.0,0.0,0.0
F001,2021-01-05,4,D,20,1.00164E-4,-7.0,0.9603,0.893079,-0.067221
F001,2021-01-05,5,D,21,12.4507,4.99962,119369.0,125337.0,5968.0
F001,2021-01-05,5,D,22,0.924748,-2.00003,8865.85,8688.53,-177.32
F001,2021-01-05,5,D,23,0.0553366,6.99998,530.53,567.667,37.137
F001,2021-01-05,5,D,24,0.0243574,-3.00015,233.522,226.516,-7.006
F001,2021-01-05,5,D,25,0.0300491,-5.99986,288.09,270.805,-17.285
F001,2021-01-05,5,D,26,0.0113196,-7.00023,108.525,100.928,-7.597
F001,2021-01-05,5,D,27,0.0160703,-8.00021,154.071,141.745,-12.326
F001,2021-01-05,5,D,28,0.00384545,6.99991,36.8676,39.4483,2.5807
F001,2021-01-05,5,D,29,0.00322301,5.0,30.9,32.445,1.545
F001,2021-01-05,5,D,30,5.53074E-4,-0.999906,5.3025,5.24948,-0.05302
F001,2021-01-05,6,D,31,0.763597,-9.00005,7320.85,6661.97,-658.88
F001,2021-01-05,6,D,32,1.79079,5.9998,17168.9,18199.0,1030.1
F001,2021-01-05,6,D,33,0.939722,-2.00002,9009.41,8829.22,-180.19
F001,2021-01-05,6,D,34,0.0395322,8.00009,379.008,409.329,30.321
F001,2021-01-05,6,D,35,0.0902131,-0.999998,864.902,856.253,-8.649
F001,2021-01-05,6,D,36,0.00421285,-7.00002,40.3899,37.5626,-2.8273
F001,2021-01-05,6,D,37,0.0019338,0.0,18.54,18.54,0.0
F001,2021-01-05,6,D,38,0.00423388,-3.00013,40.5916,39.3738,-1.2178
F001,2021-01-05,6,D,39,0.00169274,6.9999,16.2288,17.3648,1.136
F001,2021-01-05,6,D,40,4.65406E-4,5.0,4.462,4.6851,0.2231
F001,2021-01-06,3,D,1,72.1156,5.99995,650672.0,689712.0,39040.0
F001,2021-01-06,3,D,2,8.69231,1.99994,78427.5,79996.0,1568.5
F001,2021-01-06,3,D,3,0.00709842,-6.00002,64.0464,60.2036,-3.8428
F001,2021-01-06,3,D,4,0.0264696,-7.0001,238.825,222.107,-16.718
F001,2021-01-06,3,D,5,0.0110116,2.00012,99.3538,101.341,1.9872
F001,2021-01-06,3,D,6,0.00130368,-7.99993,11.7626,10.8216,-0.941
F001,2021-01-06,3,D,7,0.00124487,1.99964,11.232,11.4566,0.2246
F001,2021-01-06,3,D,8,4.69043E-4,-1.0,4.232,4.18968,-0.04232
F001,2021-01-06,3,D,9,0.0,0.0,0.0,0.0,0.0
F001,2021-01-06,3,D,10,1.97902E-4,6.00022,1.7856,1.89274,0.10714
F001,2021-01-06,4,D,11,0.184771,8.00002,1667.12,1800.49,133.37
F001,2021-01-06,4,D,12,0.0475753,3.99996,429.254,446.424,17.17
F001,2021-01-06,4,D,13,0.00902229,-4.00001,81.4048,78.1486,-3.2562
F001,2021-01-06,4,D,14,0.0066822,-9.00002,60.291,54.8648,-5.4262
F001,2021-01-06,4,D,15,8.28485E-4,0.999985,7.47511,7.54986,0.07475
F001,2021-01-06,4,D,16,2.20721E-4,0.999759,1.99148,2.01139,0.01991
F001,2021-01-06,4,D,17,0.0,0.0,0.0,0.0,0.0
F001,2021-01-06,4,D,18,0.0,0.0,0.0,0.0,0.0
F001,2021-01-06,4,D,19,0.0,0.0,0.0,0.0,0.0
F001,2021-01-06,4,D,20,9.89821E-5,-6.00003,0.893079,0.839494,-0.053585
F001,2021-01-06,5,D,21,13.8914,-0.999705,125337.0,124084.0,-1253.0
F001,2021-01-06,5,D,22,0.962971,3.00005,8688.53,8949.19,260.66
F001,2021-01-06,5,D,23,0.0629159,-7.00005,567.667,527.93,-39.737
F001,2021-01-06,5,D,24,0.0251053,6.99995,226.516,242.372,15.856
F001,2021-01-06,5,D,25,0.030014,-4.99991,270.805,257.265,-13.54
F001,2021-01-06,5,D,26,0.0111861,7.99976,100.928,109.002,8.074
F001,2021-01-06,5,D,27,0.0157099,2.00007,141.745,144.58,2.835
F001,2021-01-06,5,D,28,0.00437215,0.0,39.4483,39.4483,0.0
F001,2021-01-06,5,D,29,0.00359596,-8.0,32.445,29.8494,-2.5956
F001,2021-01-06,5,D,30,5.81813E-4,0.0,5.24948,5.24948,0.0
F001,2021-01-06,6,D,31,0.738362,2.00001,6661.97,6795.21,133.24
F001,2021-01-06,6,D,32,2.01704,0.0,18199.0,18199.0,0.0
F001,2021-01-06,6,D,33,0.978564,5.99996,8829.22,9358.97,529.75
F001,2021-01-06,6,D,34,0.0453669,0.999929,409.329,413.422,4.093
F001,2021-01-06,6,D,35,0.0949006,1.00005,856.253,864.816,8.563
F001,2021-01-06,6,D,36,0.00416316,3.00006,37.5626,38.6895,1.1269
F001,2021-01-06,6,D,37,0.00205483,0.0,18.54,18.54,0.0
F001,2021-01-06,6,D,38,0.00436389,0.0,39.3738,39.3738,0.0
F001,2021-01-06,6,D,39,0.00192458,8.00009,17.3648,18.754,1.3892
F001,2021-01-06,6,D,40,5.19261E-4,0.0,4.6851,4.6851,0.0
F001,2021-01-07,3,D,1,73.1673,-1.99997,689712.0,675918.0,-13794.0
F001,2021-01-07,3,D,2,8.48628,3.99995,79996.0,83195.8,3199.8
F001,2021-01-07,3,D,3,0.00638663,0.99994,60.2036,60.8056,0.602
F001,2021-01-07,3,D,4,0.023562,1.99994,222.107,226.549,4.442
F001,2021-01-07,3,D,5,0.0107506,7.99972,101.341,109.448,8.107
F001,2021-01-07,3,D,6,0.001148,0.0,10.8216,10.8216,0.0
F001,2021-01-07,3,D,7,0.00121536,4.99974,11.4566,12.0294,0.5728
F001,2021-01-07,3,D,8,4.44457E-4,5.99998,4.18968,4.44106,0.25138
F001,2021-01-07,3,D,9,0.0,0.0,0.0,0.0,0.0
F001,2021-01-07,3,D,10,2.00789E-4,6.9999,1.89274,2.02523,0.13249
F001,2021-01-07,4,D,11,0.191003,6.99976,1800.49,1926.52,126.03
F001,2021-01-07,4,D,12,0.0473584,1.99989,446.424,455.352,8.928
F001,2021-01-07,4,D,13,0.0082903,-7.0,78.1486,72.6782,-5.4704
F001,2021-01-07,4,D,14,0.00582027,6.99993,54.8648,58.7053,3.8405
F001,2021-01-07,4,D,15,8.00918E-4,0.0,7.54986,7.54986,0.0
F001,2021-01-07,4,D,16,2.13376E-4,-5.99983,2.01139,1.89071,-0.12068
F001,2021-01-07,4,D,17,0.0,0.0,0.0,0.0,0.0
F001,2021-01-07,4,D,18,0.0,0.0,0.0,0.0,0.0
F001,2021-01-07,4,D,19,0.0,0.0,0.0,0.0,0.0
F001,2021-01-07,4,D,20,8.90567E-5,1.00001,0.839494,0.847889,0.008395
F001,2021-01-07,5,D,21,13.1633,-3.99971,124084.0,119121.0,-4963.0
F001,2021-01-07,5,D,22,0.949364,-6.99996,8949.19,8322.75,-626.44
F001,2021-01-07,5,D,23,0.0560048,3.99996,527.93,549.047,21.117
F001,2021-01-07,5,D,24,0.0257118,1.00012,242.372,244.796,2.424
F001,2021-01-07,5,D,25,0.0272917,-1.99988,257.265,252.12,-5.145
F001,2021-01-07,5,D,26,0.0115634,-2.99994,109.002,105.732,-3.27
F001,2021-01-07,5,D,27,0.0153376,0.0,144.58,144.58,0.0
F001,2021-01-07,5,D,28,0.00418483,-2.99988,39.4483,38.2649,-1.1834
F001,2021-01-07,5,D,29,0.00316654,-8.00016,29.8494,27.4614,-2.388
F001,2021-01-07,5,D,30,5.56885E-4,-4.00002,5.24948,5.0395,-0.20998
F001,2021-01-07,6,D,31,0.720862,0.999969,6795.21,6863.16,67.95
F001,2021-01-07,6,D,32,1.93062,-8.99995,18199.0,16561.1,-1637.9
F001,2021-01-07,6,D,33,0.992835,-3.00001,9358.97,9078.2,-280.77
F001,2021-01-07,6,D,34,0.0438574,1.99989,413.422,421.69,8.268
F001,2021-01-07,6,D,35,0.091743,8.99995,864.816,942.649,77.833
F001,2021-01-07,6,D,36,0.00410433,0.0,38.6895,38.6895,0.0
F001,2021-01-07,6,D,37,0.00196679,-6.0,18.54,17.4276,-1.1124
F001,2021-01-07,6,D,38,0.00417692,2.99996,39.3738,40.555,1.1812
F001,2021-01-07,6,D,39,0.0019895,-0.999787,18.754,18.5665,-0.1875
F001,2021-01-07,6,D,40,4.97013E-4,0.0,4.6851,4.6851,0.0
F001,2021-01-08,3,D,1,73.0832,0.0,675918.0,675918.0,0.0
F001,2021-01-08,3,D,2,8.99549,-6.99999,83195.8,77372.1,-5823.7
F001,2021-01-08,3,D,3,0.00657457,3.00005,60.8056,62.6298,1.8242
F001,2021-01-08,3,D,4,0.0244955,-2.00001,226.549,222.018,-4.531
F001,2021-01-08,3,D,5,0.011834,2.00004,109.448,111.637,2.189
F001,2021-01-08,3,D,6,0.00117008,2.99956,10.8216,11.1462,0.3246
F001,2021-01-08,3,D,7,0.00130067,2.0001,12.0294,12.27,0.2406
F001,2021-01-08,3,D,8,4.80187E-4,-5.99992,4.44106,4.1746,-0.26646
F001,2021-01-08,3,D,9,0.0,0.0,0.0,0.0,0.0
F001,2021-01-08,3,D,10,2.18977E-4,8.99997,2.02523,2.2075,0.18227
F001,2021-01-08,4,D,11,0.208304,-1.00025,1926.52,1907.25,-19.27
F001,2021-01-08,4,D,12,0.0492346,-5.99997,455.352,428.031,-27.321
F001,2021-01-08,4,D,13,0.00785828,0.0,72.6782,72.6782,0.0
F001,2021-01-08,4,D,14,0.00634747,7.99996,58.7053,63.4017,4.6964
F001,2021-01-08,4,D,15,8.16324E-4,-3.99994,7.54986,7.24787,-0.30199
F001,2021-01-08,4,D,16,2.04432E-4,-7.00002,1.89071,1.75836,-0.13235
F001,2021-01-08,4,D,17,0.0,0.0,0.0,0.0,0.0
F001,2021-01-08,4,D,18,0.0,0.0,0.0,0.0,0.0
F001,2021-01-08,4,D,19,0.0,0.0,0.0,0.0,0.0
F001,2021-01-08,4,D,20,9.16775E-5,3.00004,0.847889,0.873326,0.025437
F001,2021-01-08,5,D,21,12.8799,6.99961,119121.0,127459.0,8338.0
F001,2021-01-08,5,D,22,0.899892,-6.99997,8322.75,7740.16,-582.59
F001,2021-01-08,5,D,23,0.0593654,-6.99995,549.047,510.614,-38.433
F001,2021-01-08,5,D,24,0.0264684,-4.00007,244.796,235.004,-9.792
F001,2021-01-08,5,D,25,0.0272603,-5.0,252.12,239.514,-12.606
F001,2021-01-08,5,D,26,0.0114322,-3.99974,105.732,101.503,-4.229
F001,2021-01-08,5,D,27,0.0156326,-8.99986,144.58,131.568,-13.012
F001,2021-01-08,5,D,28,0.00413737,-6.99989,38.2649,35.5864,-2.6785
F001,2021-01-08,5,D,29,0.00296925,-5.00011,27.4614,26.0883,-1.3731
F001,2021-01-08,5,D,30,5.44893E-4,8.0,5.0395,5.44266,0.40316
F001,2021-01-08,6,D,31,0.742075,2.99993,6863.16,7069.05,205.89
F001,2021-01-08,6,D,32,1.79066,0.0,16561.1,16561.1,0.0
F001,2021-01-08,6,D,33,0.981575,5.0,9078.2,9532.11,453.91
F001,2021-01-08,6,D,34,0.045595,7.99995,421.69,455.425,33.735
F001,2021-01-08,6,D,35,0.101923,0.999948,942.649,952.075,9.426
F001,2021-01-08,6,D,36,0.00418328,8.0001,38.6895,41.7847,3.0952
F001,2021-01-08,6,D,37,0.00188435,5.00011,17.4276,18.299,0.8714
F001,2021-01-08,6,D,38,0.00438498,2.99988,40.555,41.7716,1.2166
F001,2021-01-08,6,D,39,0.00200749,-4.99987,18.5665,17.6382,-0.9283
F001,2021-01-08,6,D,40,5.06573E-4,-7.00006,4.6851,4.35714,-0.32796
F001,2021-01-11,3,D,1,72.885,0.999973,675918.0,682677.0,6759.0
F001,2021-01-11,3,D,2,8.34313,0.999973,77372.1,78145.8,773.7
F001,2021-01-11,3,D,3,0.00675345,-4.00001,62.6298,60.1246,-2.5052
F001,2021-01-11,3,D,4,0.0239405,-3.00021,222.018,215.357,-6.661
F001,2021-01-11,3,D,5,0.0120379,-8.9997,111.637,101.59,-10.047
F001,2021-01-11,3,D,6,0.00120191,8.00004,11.1462,12.0379,0.8917
F001,2021-01-11,3,D,7,0.00132309,5.0,12.27,12.8835,0.6135
F001,2021-01-11,3,D,8,4.50152E-4,6.0001,4.1746,4.42508,0.25048
